Package,LibPath,Version,Priority,Built
abind,/Users/jenny/resources/R/library,1.4-5,NA,3.4.0
acepack,/Users/jenny/resources/R/library,1.4.1,NA,3.4.0
ade4,/Users/jenny/resources/R/library,1.7-10,NA,3.4.3
ade4TkGUI,/Users/jenny/resources/R/library,0.2-9,NA,3.4.0
adegraphics,/Users/jenny/resources/R/library,1.0-9,NA,3.4.3
adehabitatLT,/Users/jenny/resources/R/library,0.3.23,NA,3.4.3
adehabitatMA,/Users/jenny/resources/R/library,0.3.12,NA,3.4.3
AER,/Users/jenny/resources/R/library,1.2-5,NA,3.4.0
agricolae,/Users/jenny/resources/R/library,1.2-8,NA,3.4.1
AICcmodavg,/Users/jenny/resources/R/library,2.1-1,NA,3.4.1
akima,/Users/jenny/resources/R/library,0.6-2,NA,3.4.0
AlgDesign,/Users/jenny/resources/R/library,1.1-7.3,NA,3.4.0
alr4,/Users/jenny/resources/R/library,1.0.5,NA,3.4.0
animation,/Users/jenny/resources/R/library,2.5,NA,3.4.0
ape,/Users/jenny/resources/R/library,5.0,NA,3.4.2
aplpack,/Users/jenny/resources/R/library,1.3.0,NA,3.4.0
argparse,/Users/jenny/resources/R/library,1.1.1,NA,3.4.3
arm,/Users/jenny/resources/R/library,1.9-3,NA,3.4.0
aRxiv,/Users/jenny/resources/R/library,0.5.16,NA,3.4.0
ascii,/Users/jenny/resources/R/library,2.1,NA,3.4.0
ash,/Users/jenny/resources/R/library,1.0-15,NA,3.4.0
assertive,/Users/jenny/resources/R/library,0.3-5,NA,3.4.0
assertive.base,/Users/jenny/resources/R/library,0.0-7,NA,3.4.0
assertive.code,/Users/jenny/resources/R/library,0.0-1,NA,3.4.0
assertive.data,/Users/jenny/resources/R/library,0.0-1,NA,3.4.0
assertive.data.uk,/Users/jenny/resources/R/library,0.0-1,NA,3.4.0
assertive.data.us,/Users/jenny/resources/R/library,0.0-1,NA,3.4.0
assertive.datetimes,/Users/jenny/resources/R/library,0.0-2,NA,3.4.0
assertive.files,/Users/jenny/resources/R/library,0.0-2,NA,3.4.0
assertive.matrices,/Users/jenny/resources/R/library,0.0-1,NA,3.4.0
assertive.models,/Users/jenny/resources/R/library,0.0-1,NA,3.4.0
assertive.numbers,/Users/jenny/resources/R/library,0.0-2,NA,3.4.0
assertive.properties,/Users/jenny/resources/R/library,0.0-4,NA,3.4.0
assertive.reflection,/Users/jenny/resources/R/library,0.0-4,NA,3.4.0
assertive.sets,/Users/jenny/resources/R/library,0.0-3,NA,3.4.0
assertive.strings,/Users/jenny/resources/R/library,0.0-3,NA,3.4.0
assertive.types,/Users/jenny/resources/R/library,0.0-3,NA,3.4.0
assertr,/Users/jenny/resources/R/library,2.0.2.2,NA,3.4.0
assertthat,/Users/jenny/resources/R/library,0.2.0,NA,3.4.0
async,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.2
AUC,/Users/jenny/resources/R/library,0.3.0,NA,3.4.0
audio,/Users/jenny/resources/R/library,0.1-5,NA,3.4.0
aws.signature,/Users/jenny/resources/R/library,0.3.5,NA,3.4.1
babynames,/Users/jenny/resources/R/library,0.3.0,NA,3.4.0
backports,/Users/jenny/resources/R/library,1.1.2,NA,3.4.3
base64,/Users/jenny/resources/R/library,2.0,NA,3.4.0
base64enc,/Users/jenny/resources/R/library,0.1-3,NA,3.4.0
BatchJobs,/Users/jenny/resources/R/library,1.7,NA,3.4.3
bayesplot,/Users/jenny/resources/R/library,1.4.0,NA,3.4.3
BB,/Users/jenny/resources/R/library,2014.10-1,NA,3.4.0
BBmisc,/Users/jenny/resources/R/library,1.11,NA,3.4.0
bbmle,/Users/jenny/resources/R/library,1.0.20,NA,3.4.2
bdsmatrix,/Users/jenny/resources/R/library,1.3-3,NA,3.4.3
beanplot,/Users/jenny/resources/R/library,1.2,NA,3.4.0
beeswarm,/Users/jenny/resources/R/library,0.2.3,NA,3.4.0
betareg,/Users/jenny/resources/R/library,3.1-0,NA,3.4.0
BH,/Users/jenny/resources/R/library,1.65.0-1,NA,3.4.1
bibtex,/Users/jenny/resources/R/library,0.4.2,NA,3.4.1
biclust,/Users/jenny/resources/R/library,1.2.0,NA,3.4.0
biglm,/Users/jenny/resources/R/library,0.9-1,NA,3.4.0
bindr,/Users/jenny/resources/R/library,0.1,NA,3.4.0
bindrcpp,/Users/jenny/resources/R/library,0.2,NA,3.4.0
binGroup,/Users/jenny/resources/R/library,1.1-0,NA,3.4.0
bit,/Users/jenny/resources/R/library,1.1-12,NA,3.4.0
bit64,/Users/jenny/resources/R/library,0.9-7,NA,3.4.0
bitops,/Users/jenny/resources/R/library,1.0-6,NA,3.4.0
blob,/Users/jenny/resources/R/library,1.1.0,NA,3.4.0
blogdown,/Users/jenny/resources/R/library,0.5,NA,3.4.3
BMA,/Users/jenny/resources/R/library,3.18.7,NA,3.4.0
bmp,/Users/jenny/resources/R/library,0.3,NA,3.4.1
bookdown,/Users/jenny/resources/R/library,0.6,NA,3.4.3
bootstrap,/Users/jenny/resources/R/library,2017.2,NA,3.4.0
boxes,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.1
brew,/Users/jenny/resources/R/library,1.0-6,NA,3.4.0
broman,/Users/jenny/resources/R/library,0.67-4,NA,3.4.3
broom,/Users/jenny/resources/R/library,0.4.3,NA,3.4.3
BRRR,/Users/jenny/resources/R/library,1.2,NA,3.4.2
btergm,/Users/jenny/resources/R/library,1.9.0,NA,3.4.0
buzzy,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.2
ca,/Users/jenny/resources/R/library,0.70,NA,3.4.0
Cairo,/Users/jenny/resources/R/library,1.5-9,NA,3.4.0
callr,/Users/jenny/resources/R/library,2.0.0,NA,3.4.3
candisc,/Users/jenny/resources/R/library,0.8-0,NA,3.4.2
car,/Users/jenny/resources/R/library,2.1-6,NA,3.4.3
carData,/Users/jenny/resources/R/library,3.0-0,NA,3.4.1
caret,/Users/jenny/resources/R/library,6.0-78,NA,3.4.3
catdata,/Users/jenny/resources/R/library,1.2.1,NA,3.4.0
caTools,/Users/jenny/resources/R/library,1.17.1,NA,3.4.0
cba,/Users/jenny/resources/R/library,0.2-19,NA,3.4.0
cellranger,/Users/jenny/resources/R/library,1.1.0,NA,3.4.0
checkmate,/Users/jenny/resources/R/library,1.8.5,NA,3.4.2
chemometrics,/Users/jenny/resources/R/library,1.4.2,NA,3.4.0
chron,/Users/jenny/resources/R/library,2.3-52,NA,3.4.3
circlize,/Users/jenny/resources/R/library,0.4.3,NA,3.4.3
CircStats,/Users/jenny/resources/R/library,0.2-4,NA,3.4.0
circular,/Users/jenny/resources/R/library,0.4-93,NA,3.4.1
cli,/Users/jenny/resources/R/library,1.0.0,NA,3.4.2
clipr,/Users/jenny/resources/R/library,0.4.0,NA,3.4.2
clisymbols,/Users/jenny/resources/R/library,1.2.0,NA,3.4.0
cmprsk,/Users/jenny/resources/R/library,2.2-7,NA,3.4.0
coda,/Users/jenny/resources/R/library,0.19-1,NA,3.4.0
coin,/Users/jenny/resources/R/library,1.2-2,NA,3.4.3
colorRamps,/Users/jenny/resources/R/library,2.3,NA,3.4.0
colorspace,/Users/jenny/resources/R/library,1.3-2,NA,3.4.0
colourpicker,/Users/jenny/resources/R/library,1.0,NA,3.4.2
combinat,/Users/jenny/resources/R/library,0.0-8,NA,3.4.0
commonmark,/Users/jenny/resources/R/library,1.4,NA,3.4.1
CompQuadForm,/Users/jenny/resources/R/library,1.4.3,NA,3.4.0
condvis,/Users/jenny/resources/R/library,0.4-2,NA,3.4.2
corpcor,/Users/jenny/resources/R/library,1.6.9,NA,3.4.0
corrgram,/Users/jenny/resources/R/library,1.12,NA,3.4.0
corrplot,/Users/jenny/resources/R/library,0.84,NA,3.4.2
countrycode,/Users/jenny/resources/R/library,0.19,NA,3.4.0
covr,/Users/jenny/resources/R/library,3.0.1,NA,3.4.2
cowplot,/Users/jenny/resources/R/library,0.9.2,NA,3.4.3
coxme,/Users/jenny/resources/R/library,2.2-7,optional,3.4.3
crancache,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.2
cranlike,/Users/jenny/resources/R/library,1.0.1,NA,3.4.1
cranlogs,/Users/jenny/resources/R/library,2.1.0,NA,3.4.0
crayon,/Users/jenny/resources/R/library,1.3.4,NA,3.4.1
crminer,/Users/jenny/resources/R/library,0.1.4,NA,3.4.1
crosstalk,/Users/jenny/resources/R/library,1.0.0,NA,3.4.0
crul,/Users/jenny/resources/R/library,0.5.0,NA,3.4.3
cshapes,/Users/jenny/resources/R/library,0.6,NA,3.4.0
csvy,/Users/jenny/resources/R/library,0.1.3,NA,3.4.0
ctv,/Users/jenny/resources/R/library,0.8-4,NA,3.4.3
cubature,/Users/jenny/resources/R/library,1.3-11,NA,3.4.1
curl,/Users/jenny/resources/R/library,3.1,NA,3.4.3
CVST,/Users/jenny/resources/R/library,0.2-1,NA,3.4.0
cyclocomp,/Users/jenny/resources/R/library,1.1.0,NA,3.4.0
d3heatmap,/Users/jenny/resources/R/library,0.6.1.1,NA,3.4.0
DAAG,/Users/jenny/resources/R/library,1.22,NA,3.4.0
daff,/Users/jenny/resources/R/library,0.3.0,NA,3.4.0
data.table,/Users/jenny/resources/R/library,1.10.4-3,NA,3.4.2
datapasta,/Users/jenny/resources/R/library,3.0.0,NA,3.4.3
DBI,/Users/jenny/resources/R/library,0.7,NA,3.4.0
DBItest,/Users/jenny/resources/R/library,1.5-2,NA,3.4.3
dbplyr,/Users/jenny/resources/R/library,1.2.0,NA,3.4.3
ddalpha,/Users/jenny/resources/R/library,1.3.1,NA,3.4.2
ddpcr,/Users/jenny/resources/R/library,1.8,NA,3.4.1
debugme,/Users/jenny/resources/R/library,1.1.0.9000,NA,3.4.3
degreenet,/Users/jenny/resources/R/library,1.3-1,NA,3.4.0
deldir,/Users/jenny/resources/R/library,0.1-14,NA,3.4.0
dendextend,/Users/jenny/resources/R/library,1.6.0,NA,3.4.2
DendSer,/Users/jenny/resources/R/library,1.0.1,NA,3.4.0
DEoptimR,/Users/jenny/resources/R/library,1.0-8,NA,3.4.0
deparse,/Users/jenny/resources/R/library,0.0-1,NA,3.4.2
desc,/Users/jenny/resources/R/library,1.1.1,NA,3.4.1
descr,/Users/jenny/resources/R/library,1.1.4,NA,3.4.3
DescTools,/Users/jenny/resources/R/library,0.99.23,NA,3.4.3
deSolve,/Users/jenny/resources/R/library,1.20,NA,3.4.1
devtools,/Users/jenny/resources/R/library,1.13.4,NA,3.4.2
dfoptim,/Users/jenny/resources/R/library,2017.12-1,NA,3.4.3
diagram,/Users/jenny/resources/R/library,1.6.4,NA,3.4.1
DiagrammeR,/Users/jenny/resources/R/library,0.9.2,NA,3.4.1
DiagrammeRsvg,/Users/jenny/resources/R/library,0.1,NA,3.4.0
dichromat,/Users/jenny/resources/R/library,2.0-0,NA,3.4.0
diffobj,/Users/jenny/resources/R/library,0.1.9,NA,3.4.3
diffr,/Users/jenny/resources/R/library,0.1,NA,3.4.0
digest,/Users/jenny/resources/R/library,0.6.15,NA,3.4.3
dimRed,/Users/jenny/resources/R/library,0.1.0,NA,3.4.0
diptest,/Users/jenny/resources/R/library,0.75-7,NA,3.4.0
directlabels,/Users/jenny/resources/R/library,2017.03.31,NA,3.4.0
DistributionUtils,/Users/jenny/resources/R/library,0.5-1,NA,3.4.0
diveMove,/Users/jenny/resources/R/library,1.4.4,NA,3.4.3
doParallel,/Users/jenny/resources/R/library,1.0.11,NA,3.4.2
doRedis,/Users/jenny/resources/R/library,1.1.1,NA,3.4.0
doRNG,/Users/jenny/resources/R/library,1.6.6,NA,3.4.0
DoseFinding,/Users/jenny/resources/R/library,0.9-16,NA,3.4.3
dotCall64,/Users/jenny/resources/R/library,0.9-5.2,NA,3.4.3
downloader,/Users/jenny/resources/R/library,0.4,NA,3.4.0
dplyr,/Users/jenny/resources/R/library,0.7.4,NA,3.4.2
DRR,/Users/jenny/resources/R/library,0.0.3,NA,3.4.3
DT,/Users/jenny/resources/R/library,0.3,NA,3.4.3
dtplyr,/Users/jenny/resources/R/library,0.0.2,NA,3.4.0
dygraphs,/Users/jenny/resources/R/library,1.1.1.4,NA,3.4.0
dynamicTreeCut,/Users/jenny/resources/R/library,1.63-1,NA,3.4.0
dynlm,/Users/jenny/resources/R/library,0.3-5,NA,3.4.0
e1071,/Users/jenny/resources/R/library,1.6-8,NA,3.4.0
Ecdat,/Users/jenny/resources/R/library,0.3-1,NA,3.4.0
Ecfun,/Users/jenny/resources/R/library,0.1-7,NA,3.4.0
effects,/Users/jenny/resources/R/library,4.0-0,NA,3.4.1
elastic,/Users/jenny/resources/R/library,0.8.0.9100,NA,3.4.1
ellipse,/Users/jenny/resources/R/library,0.4.1,NA,3.4.3
emdbook,/Users/jenny/resources/R/library,1.3.9,NA,3.4.0
emojifont,/Users/jenny/resources/R/library,0.5.1,NA,3.4.2
enc,/Users/jenny/resources/R/library,0.1,NA,3.4.2
ensurer,/Users/jenny/resources/R/library,1.1,NA,3.4.0
Epi,/Users/jenny/resources/R/library,2.19,NA,3.4.1
EpiModel,/Users/jenny/resources/R/library,1.6.1,NA,3.4.3
ergm,/Users/jenny/resources/R/library,3.8.0,NA,3.4.1
ergm.count,/Users/jenny/resources/R/library,3.2.2,NA,3.4.0
ergm.userterms,/Users/jenny/resources/R/library,3.1.1,NA,3.4.0
etm,/Users/jenny/resources/R/library,0.6-2,NA,3.4.0
evaluate,/Users/jenny/resources/R/library,0.10.1,NA,3.4.1
evd,/Users/jenny/resources/R/library,2.3-2,NA,3.4.0
expm,/Users/jenny/resources/R/library,0.999-2,NA,3.4.0
extrafont,/Users/jenny/resources/R/library,0.17,NA,3.4.0
extrafontdb,/Users/jenny/resources/R/library,1.0,NA,3.4.0
Fahrmeir,/Users/jenny/resources/R/library,2016.5.31,NA,3.4.0
fail,/Users/jenny/resources/R/library,1.3,NA,3.4.0
fastICA,/Users/jenny/resources/R/library,1.2-1,NA,3.4.0
fastmatch,/Users/jenny/resources/R/library,1.1-0,NA,3.4.0
fBasics,/Users/jenny/resources/R/library,3042.89,NA,3.4.2
fda,/Users/jenny/resources/R/library,2.4.7,NA,3.4.1
fdrtool,/Users/jenny/resources/R/library,1.2.15,NA,3.4.0
feather,/Users/jenny/resources/R/library,0.3.1,NA,3.4.0
ff,/Users/jenny/resources/R/library,2.2-13,NA,3.4.0
ffbase,/Users/jenny/resources/R/library,0.12.3,NA,3.4.0
fftwtools,/Users/jenny/resources/R/library,0.9-8,NA,3.4.0
fGarch,/Users/jenny/resources/R/library,3042.83,NA,3.4.2
fields,/Users/jenny/resources/R/library,9.0,NA,3.4.0
filehash,/Users/jenny/resources/R/library,2.4-1,NA,3.4.0
filelock,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.2
findpython,/Users/jenny/resources/R/library,1.0.3,NA,3.4.3
fit.models,/Users/jenny/resources/R/library,0.5-14,NA,3.4.0
fitdistrplus,/Users/jenny/resources/R/library,1.0-9,NA,3.4.0
flexclust,/Users/jenny/resources/R/library,1.3-4,NA,3.4.0
flexdashboard,/Users/jenny/resources/R/library,0.5.1,NA,3.4.2
flexmix,/Users/jenny/resources/R/library,2.3-14,NA,3.4.0
flexsurv,/Users/jenny/resources/R/library,1.1,NA,3.4.0
FMStable,/Users/jenny/resources/R/library,0.1-2,NA,3.4.0
FNN,/Users/jenny/resources/R/library,1.1,NA,3.4.0
fontBitstreamVera,/Users/jenny/resources/R/library,0.1.1,NA,3.4.0
fontcm,/Users/jenny/resources/R/library,1.1,NA,3.4.0
fontLiberation,/Users/jenny/resources/R/library,0.1.0,NA,3.4.0
fontquiver,/Users/jenny/resources/R/library,0.2.1,NA,3.4.0
forcats,/Users/jenny/resources/R/library,0.2.0,NA,3.4.0
foreach,/Users/jenny/resources/R/library,1.4.4,NA,3.4.3
forecast,/Users/jenny/resources/R/library,8.2,NA,3.4.2
formatR,/Users/jenny/resources/R/library,1.5,NA,3.4.0
formattable,/Users/jenny/resources/R/library,0.2.0.1,NA,3.4.0
Formula,/Users/jenny/resources/R/library,1.2-2,NA,3.4.1
fortunes,/Users/jenny/resources/R/library,1.5-4,NA,3.4.0
fpc,/Users/jenny/resources/R/library,2.1-11,NA,3.4.3
fracdiff,/Users/jenny/resources/R/library,1.4-2,NA,3.4.0
franc,/Users/jenny/resources/R/library,1.1.1,NA,3.4.0
FRB,/Users/jenny/resources/R/library,1.8,NA,3.4.0
fs,/Users/jenny/resources/R/library,1.1.0,NA,3.4.3
fTrading,/Users/jenny/resources/R/library,3042.79,NA,3.4.2
fts,/Users/jenny/resources/R/library,0.9.9,NA,3.4.0
fulltext,/Users/jenny/resources/R/library,1.0.0,NA,3.4.3
futile.logger,/Users/jenny/resources/R/library,1.4.3,NA,3.4.0
futile.options,/Users/jenny/resources/R/library,1.0.0,NA,3.4.0
fuzzyjoin,/Users/jenny/resources/R/library,0.1.3,NA,3.4.1
GA,/Users/jenny/resources/R/library,3.0.2,NA,3.4.0
gam,/Users/jenny/resources/R/library,1.14-4,NA,3.4.0
gamlss,/Users/jenny/resources/R/library,5.0-6,NA,3.4.3
gamlss.data,/Users/jenny/resources/R/library,5.0-0,NA,3.4.0
gamlss.dist,/Users/jenny/resources/R/library,5.0-4,NA,3.4.3
gamm4,/Users/jenny/resources/R/library,0.2-5,NA,3.4.1
gapminder,/Users/jenny/resources/R/library,0.3.0,NA,3.4.2
gargle,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.2
gclus,/Users/jenny/resources/R/library,1.3.1,NA,3.4.0
gdata,/Users/jenny/resources/R/library,2.18.0,NA,3.4.0
gdtools,/Users/jenny/resources/R/library,0.1.6,NA,3.4.1
gee,/Users/jenny/resources/R/library,4.13-19,NA,3.4.0
geepack,/Users/jenny/resources/R/library,1.2-1,NA,3.4.0
gender,/Users/jenny/resources/R/library,0.5.1,NA,3.4.0
GeneralizedHyperbolic,/Users/jenny/resources/R/library,0.8-1,NA,3.4.0
geonames,/Users/jenny/resources/R/library,0.998,NA,3.4.0
geosphere,/Users/jenny/resources/R/library,1.5-7,NA,3.4.2
GERGM,/Users/jenny/resources/R/library,0.11.2,NA,3.4.0
getopt,/Users/jenny/resources/R/library,1.20.1,NA,3.4.3
GGally,/Users/jenny/resources/R/library,1.3.2,NA,3.4.1
ggalt,/Users/jenny/resources/R/library,0.4.0,NA,3.4.0
ggbeeswarm,/Users/jenny/resources/R/library,0.6.0,NA,3.4.1
ggExtra,/Users/jenny/resources/R/library,0.7,NA,3.4.1
ggforce,/Users/jenny/resources/R/library,0.1.1,NA,3.4.0
ggjoy,/Users/jenny/resources/R/library,0.4.0,NA,3.4.1
ggmap,/Users/jenny/resources/R/library,2.6.1,NA,3.4.0
ggplot2,/Users/jenny/resources/R/library,2.2.1,NA,3.4.0
ggplot2movies,/Users/jenny/resources/R/library,0.0.1,NA,3.4.0
ggraph,/Users/jenny/resources/R/library,1.0.0,NA,3.4.1
ggrepel,/Users/jenny/resources/R/library,0.7.0,NA,3.4.2
ggridges,/Users/jenny/resources/R/library,0.4.1,NA,3.4.1
ggthemes,/Users/jenny/resources/R/library,3.4.0,NA,3.4.0
gh,/Users/jenny/resources/R/library,1.0.1,NA,3.4.1
ghentr,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.2
ghit,/Users/jenny/resources/R/library,0.2.18,NA,3.4.1
giggle,/Users/jenny/resources/R/library,0.0.0.9000,NA,3.4.1
gistr,/Users/jenny/resources/R/library,0.4.0,NA,3.4.0
git2r,/Users/jenny/resources/R/library,0.21.0,NA,3.4.2
gitlabr,/Users/jenny/resources/R/library,0.9,NA,3.4.0
glmnet,/Users/jenny/resources/R/library,2.0-13,NA,3.4.2
GlobalOptions,/Users/jenny/resources/R/library,0.0.12,NA,3.4.0
glue,/Users/jenny/resources/R/library,1.2.0.9000,NA,3.4.2
gmailr,/Users/jenny/resources/R/library,0.7.1,NA,3.4.0
gmodels,/Users/jenny/resources/R/library,2.16.2,NA,3.4.0
gmp,/Users/jenny/resources/R/library,0.5-13.1,NA,3.4.1
gnm,/Users/jenny/resources/R/library,1.0-8,NA,3.4.0
gof,/Users/jenny/resources/R/library,0.9.1,NA,3.4.0
goftest,/Users/jenny/resources/R/library,1.1-1,NA,3.4.0
googledrive,/Users/jenny/resources/R/library,0.1.1.9000,NA,3.4.2
googleformr,/Users/jenny/resources/R/library,0.0.3,NA,3.4.0
